City,District,RouteNumber,RouteName,RouteDirection,Address,SignalControlNumber,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,1,전라남도 곡성군 오곡면 오지리 1214,139,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,1,전라남도 곡성군 오곡면 오지리 1214,140,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,1,전라남도 곡성군 오곡면 오지리 1214,141,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,1,전라남도 곡성군 오곡면 오지리 1214,142,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,1,전라남도 곡성군 오곡면 오지리 1214,143,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,2,전라남도 곡성군 오곡면 오지리 1214,144,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,2,전라남도 곡성군 오곡면 오지리 1214,145,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,1,전라남도 곡성군 오곡면 오지리 1469,146,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,1,전라남도 곡성군 오곡면 오지리 1469,147,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,1,전라남도 곡성군 오곡면 오지리 1469,148,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,1,전라남도 곡성군 오곡면 오지리 1469,149,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,2,전라남도 곡성군 오곡면 오지리 1469,150,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,2,전라남도 곡성군 오곡면 오지리 1469,151,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,1,전라남도 곡성군 오곡면 오지리 1469,152,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,1,전라남도 곡성군 오곡면 오지리 1469,153,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,1,전라남도 곡성군 오곡면 오지리 1469,154,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,1,전라남도 곡성군 오곡면 오지리 1469,155,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,2,전라남도 곡성군 오곡면 오지리 1469,156,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,기차마을로,2,전라남도 곡성군 오곡면 오지리 1469,157,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,낙동원로,2,전라남도 곡성군 곡성읍 학정리 739,158,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,840번,낙동원로,2,전라남도 곡성군 곡성읍 학정리 739,159,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,,대학로,2,전라남도 곡성군 옥과면 옥과리 238-4,160,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,,대학로,1,전라남도 곡성군 옥과면 리문리 519,161,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,,대학로,1,전라남도 곡성군 옥과면 리문리 519,162,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,,대학로,3,전라남도 곡성군 옥과면 죽림리 633,163,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,,대학로,2,전라남도 곡성군 옥과면 죽림리 633,164,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,18번,대황강로,2,전라남도 곡성군 목사동면 신전리 18-9,165,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,18번,대황강로,2,전라남도 곡성군 목사동면 평리 109-11,166,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,11번,대황강로,1,전라남도 곡성군 죽곡면 삼태리 산1-2,167,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,18번,대황강로,2,전라남도 곡성군 죽곡면 연화리 58-2,168,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,11번,대황강로,1,전라남도 곡성군 죽곡면 당동리 235-1,169,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,11번,대황강로,2,전라남도 곡성군 죽곡면 당동리 235-1,170,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,11번,대황강로,1,전라남도 곡성군 죽곡면 당동리 623,171,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,11번,대황강로,2,전라남도 곡성군 죽곡면 당동리 623,172,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,18번,대황강로,2,전라남도 곡성군 죽곡면 연화리 25-3,173,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,11번,대황강로,2,전라남도 곡성군 죽곡면 삼태리 산8-3,174,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,11번,대황강로,1,전라남도 곡성군 죽곡면 삼태리 산28-2,175,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,18번,대황강로,1,전라남도 곡성군 죽곡면 태평리 534-2,176,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,18번,대황강로,2,전라남도 곡성군 죽곡면 태평리 809,177,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,18번,대황강로,2,전라남도 곡성군 죽곡면 태평리 산25-2,178,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,18번,대황강로,1,전라남도 곡성군 죽곡면 용정리 266,179,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,18번,대황강로,2,전라남도 곡성군 죽곡면 용정리 229-2,180,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,18번,대황강로,1,전라남도 곡성군 죽곡면 용정리 274-2,181,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,18번,대황강로,2,전라남도 곡성군 죽곡면 용정리 89-1,182,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,18번,대황강로,1,전라남도 곡성군 오곡면 압록리 584,183,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,13번,무옥로,1,전라남도 곡성군 오산면 연화리 61-2,184,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,13번,무옥로,1,전라남도 곡성군 오산면 연화리 61-4,185,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,13번,무옥로,1,전라남도 곡성군 오산면 연화리 61-5,186,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,13번,무옥로,1,전라남도 곡성군 오산면 연화리 61-5,187,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,13번,무옥로,1,전라남도 곡성군 오산면 연화리 61-5,188,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,13번,무옥로,2,전라남도 곡성군 오산면 연화리 59-5,189,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,13번,무옥로,2,전라남도 곡성군 오산면 연화리 59-5,190,,,,,,,,,,,,,,,,,,,,,,41
전라남도,곡성군,13번,무옥로,1,전라남도 곡성군 오산면 연화리 59-5,191,,,,,,,,,,,,,,,,,,,,,,41
전라남도,곡성군,6번,산이재로,1,전라남도 곡성군 겸면 운교리 467-4,192,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,6번,산이재로,2,전라남도 곡성군 겸면 운교리 507-17,193,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,,삼인동길,2,전라남도 곡성군 곡성읍 읍내리 703-1,194,,,,,,,,,,,,,,,,,,,,,,
전라남도,곡성군,,삼인동길,1,전라남도 곡성군 곡성읍 학정리 535-19,195,,,,,,,,,,,,,,,,,,,,,,41
